occlusion_level,bucket,model,n_segments,baseline_only,model_only,delta_preserved,p_value,significant_5pct
full,long,EKF + CTRV,18,0,0,0,1.0,False
full,long,UKF + CTRV,18,0,0,0,1.0,False
full,medium,EKF + CTRV,78,1,5,4,0.2188,False
full,medium,UKF + CTRV,78,2,3,1,1.0,False
full,short,EKF + CTRV,180,1,1,0,1.0,False
full,short,UKF + CTRV,180,1,1,0,1.0,False
partial,long,EKF + CTRV,463,7,1,-6,0.0703,False
partial,long,UKF + CTRV,463,6,3,-3,0.5078,False
partial,medium,EKF + CTRV,499,8,7,-1,1.0,False
partial,medium,UKF + CTRV,499,7,6,-1,1.0,False
partial,short,EKF + CTRV,306,2,2,0,1.0,False
partial,short,UKF + CTRV,306,3,1,-2,0.625,False
