occlusion_level,bucket,curvature_class,model,n_segments,baseline_only,model_only,delta_preserved,p_value,significant_5pct
full,long,curved,EKF + CTRV,3,0,0,0,1.0,False
full,long,curved,UKF + CTRV,3,0,0,0,1.0,False
full,long,static,EKF + CTRV,8,0,0,0,1.0,False
full,long,static,UKF + CTRV,8,0,0,0,1.0,False
full,long,straight,EKF + CTRV,7,0,0,0,1.0,False
full,long,straight,UKF + CTRV,7,0,0,0,1.0,False
full,medium,curved,EKF + CTRV,23,0,1,1,1.0,False
full,medium,curved,UKF + CTRV,23,0,0,0,1.0,False
full,medium,static,EKF + CTRV,4,0,0,0,1.0,False
full,medium,static,UKF + CTRV,4,0,0,0,1.0,False
full,medium,straight,EKF + CTRV,51,1,4,3,0.375,False
full,medium,straight,UKF + CTRV,51,2,3,1,1.0,False
full,short,curved,EKF + CTRV,73,0,0,0,1.0,False
full,short,curved,UKF + CTRV,73,0,0,0,1.0,False
full,short,static,EKF + CTRV,3,0,0,0,1.0,False
full,short,static,UKF + CTRV,3,0,0,0,1.0,False
full,short,straight,EKF + CTRV,104,1,1,0,1.0,False
full,short,straight,UKF + CTRV,104,1,1,0,1.0,False
partial,long,curved,EKF + CTRV,172,4,0,-4,0.125,False
partial,long,curved,UKF + CTRV,172,3,2,-1,1.0,False
partial,long,static,EKF + CTRV,53,0,0,0,1.0,False
partial,long,static,UKF + CTRV,53,0,0,0,1.0,False
partial,long,straight,EKF + CTRV,238,3,1,-2,0.625,False
partial,long,straight,UKF + CTRV,238,3,1,-2,0.625,False
partial,medium,curved,EKF + CTRV,185,3,2,-1,1.0,False
partial,medium,curved,UKF + CTRV,185,3,2,-1,1.0,False
partial,medium,static,EKF + CTRV,61,1,3,2,0.625,False
partial,medium,static,UKF + CTRV,61,2,2,0,1.0,False
partial,medium,straight,EKF + CTRV,253,4,2,-2,0.6875,False
partial,medium,straight,UKF + CTRV,253,2,2,0,1.0,False
partial,short,curved,EKF + CTRV,129,1,0,-1,1.0,False
partial,short,curved,UKF + CTRV,129,2,0,-2,0.5,False
partial,short,static,EKF + CTRV,23,0,0,0,1.0,False
partial,short,static,UKF + CTRV,23,0,0,0,1.0,False
partial,short,straight,EKF + CTRV,146,1,2,1,1.0,False
partial,short,straight,UKF + CTRV,146,1,1,0,1.0,False
partial,short,unknown,EKF + CTRV,8,0,0,0,1.0,False
partial,short,unknown,UKF + CTRV,8,0,0,0,1.0,False
