occlusion_level,bucket,seg_curv_class,model,n_segments,baseline_only,model_only,delta_preserved,p_value,significant_5pct
full,long,cong nhe,EKF + CTRV,5,0,0,0,1.0,False
full,long,cong nhe,UKF + CTRV,5,0,0,0,1.0,False
full,long,cong nhe,EKF + CTRV (chan w),5,0,0,0,1.0,False
full,long,dung yen,EKF + CTRV,10,0,0,0,1.0,False
full,long,dung yen,UKF + CTRV,10,0,0,0,1.0,False
full,long,dung yen,EKF + CTRV (chan w),10,0,0,0,1.0,False
full,long,thang,EKF + CTRV,3,0,0,0,1.0,False
full,long,thang,UKF + CTRV,3,0,0,0,1.0,False
full,long,thang,EKF + CTRV (chan w),3,0,0,0,1.0,False
full,medium,cong gat,EKF + CTRV,48,1,3,2,0.625,False
full,medium,cong gat,UKF + CTRV,48,2,2,0,1.0,False
full,medium,cong gat,EKF + CTRV (chan w),48,1,2,1,1.0,False
full,medium,cong nhe,EKF + CTRV,16,0,1,1,1.0,False
full,medium,cong nhe,UKF + CTRV,16,0,0,0,1.0,False
full,medium,cong nhe,EKF + CTRV (chan w),16,0,1,1,1.0,False
full,medium,dung yen,EKF + CTRV,7,0,0,0,1.0,False
full,medium,dung yen,UKF + CTRV,7,0,0,0,1.0,False
full,medium,dung yen,EKF + CTRV (chan w),7,0,0,0,1.0,False
full,medium,thang,EKF + CTRV,7,0,1,1,1.0,False
full,medium,thang,UKF + CTRV,7,0,1,1,1.0,False
full,medium,thang,EKF + CTRV (chan w),7,0,1,1,1.0,False
full,short,cong gat,EKF + CTRV,41,0,0,0,1.0,False
full,short,cong gat,UKF + CTRV,41,0,0,0,1.0,False
full,short,cong gat,EKF + CTRV (chan w),41,0,0,0,1.0,False
full,short,cong nhe,EKF + CTRV,8,0,0,0,1.0,False
full,short,cong nhe,UKF + CTRV,8,0,0,0,1.0,False
full,short,cong nhe,EKF + CTRV (chan w),8,0,0,0,1.0,False
full,short,dung yen,EKF + CTRV,8,0,0,0,1.0,False
full,short,dung yen,UKF + CTRV,8,0,0,0,1.0,False
full,short,dung yen,EKF + CTRV (chan w),8,0,0,0,1.0,False
full,short,thang,EKF + CTRV,3,0,0,0,1.0,False
full,short,thang,UKF + CTRV,3,0,0,0,1.0,False
full,short,thang,EKF + CTRV (chan w),3,0,0,0,1.0,False
partial,long,cong gat,EKF + CTRV,25,0,0,0,1.0,False
partial,long,cong gat,UKF + CTRV,25,0,0,0,1.0,False
partial,long,cong gat,EKF + CTRV (chan w),25,0,0,0,1.0,False
partial,long,cong nhe,EKF + CTRV,101,0,0,0,1.0,False
partial,long,cong nhe,UKF + CTRV,101,0,0,0,1.0,False
partial,long,cong nhe,EKF + CTRV (chan w),101,0,0,0,1.0,False
partial,long,dung yen,EKF + CTRV,135,4,0,-4,0.125,False
partial,long,dung yen,UKF + CTRV,135,3,2,-1,1.0,False
partial,long,dung yen,EKF + CTRV (chan w),135,4,0,-4,0.125,False
partial,long,thang,EKF + CTRV,202,3,1,-2,0.625,False
partial,long,thang,UKF + CTRV,202,3,1,-2,0.625,False
partial,long,thang,EKF + CTRV (chan w),202,3,1,-2,0.625,False
partial,medium,cong gat,EKF + CTRV,119,1,2,1,1.0,False
partial,medium,cong gat,UKF + CTRV,119,2,1,-1,1.0,False
partial,medium,cong gat,EKF + CTRV (chan w),119,1,2,1,1.0,False
partial,medium,cong nhe,EKF + CTRV,122,3,0,-3,0.25,False
partial,medium,cong nhe,UKF + CTRV,122,1,0,-1,1.0,False
partial,medium,cong nhe,EKF + CTRV (chan w),122,3,0,-3,0.25,False
partial,medium,dung yen,EKF + CTRV,163,3,3,0,1.0,False
partial,medium,dung yen,UKF + CTRV,163,3,3,0,1.0,False
partial,medium,dung yen,EKF + CTRV (chan w),163,3,4,1,1.0,False
partial,medium,thang,EKF + CTRV,95,1,2,1,1.0,False
partial,medium,thang,UKF + CTRV,95,1,2,1,1.0,False
partial,medium,thang,EKF + CTRV (chan w),95,1,2,1,1.0,False
partial,short,cong gat,EKF + CTRV,95,0,2,2,0.5,False
partial,short,cong gat,UKF + CTRV,95,0,1,1,1.0,False
partial,short,cong gat,EKF + CTRV (chan w),95,0,3,3,0.25,False
partial,short,cong nhe,EKF + CTRV,19,0,0,0,1.0,False
partial,short,cong nhe,UKF + CTRV,19,0,0,0,1.0,False
partial,short,cong nhe,EKF + CTRV (chan w),19,0,0,0,1.0,False
partial,short,dung yen,EKF + CTRV,67,1,0,-1,1.0,False
partial,short,dung yen,UKF + CTRV,67,2,0,-2,0.5,False
partial,short,dung yen,EKF + CTRV (chan w),67,1,0,-1,1.0,False
partial,short,thang,EKF + CTRV,14,0,0,0,1.0,False
partial,short,thang,UKF + CTRV,14,0,0,0,1.0,False
partial,short,thang,EKF + CTRV (chan w),14,0,0,0,1.0,False
