video,track_id,seg_id,bucket,length_frames,duration_s,status,id_before,id_after,recall_during,gt_track_len,curvature_class,turn_class,occlusion_level,seg_speed,seg_turn_rate,seg_curv_class,tracker,motion_model,in_common
MVI_20011,8,0,long,51,2.04,no_before,,,0.4706,127,curved,gentle,partial,1.235,0.2781,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,10,0,long,61,2.44,switched,16.0,95.0,0.082,127,curved,gentle,partial,1.192,0.4975,dung yen,yolov8n-bytetrack,KF + CV,True
MVI_20011,13,0,long,108,4.32,no_before,,,0.9074,148,straight,gentle,partial,3.566,0.0562,cong nhe,yolov8n-bytetrack,KF + CV,False
MVI_20011,13,1,medium,13,0.52,lost,67.0,,0.0,148,straight,gentle,partial,1.055,2.0531,dung yen,yolov8n-bytetrack,KF + CV,True
MVI_20011,21,0,long,76,3.04,preserved,151.0,151.0,1.0,167,straight,gentle,partial,3.225,0.0512,cong nhe,yolov8n-bytetrack,KF + CV,True
MVI_20011,24,0,long,41,1.64,no_before,,,0.3415,121,straight,gentle,partial,1.009,0.4813,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,26,0,medium,21,0.84,no_before,,,0.0,151,curved,gentle,partial,0.79,0.5054,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,28,0,long,104,4.16,no_before,,,0.5769,121,curved,gentle,partial,3.39,0.0046,thang,yolov8n-bytetrack,KF + CV,False
MVI_20011,28,1,medium,13,0.52,no_before,,,0.0,121,curved,gentle,partial,0.743,3.8083,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,29,0,medium,31,1.24,no_before,,,0.0,352,static,static,partial,0.377,2.2186,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,29,1,medium,15,0.6,no_before,,,0.0,352,static,static,partial,0.681,2.1474,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,34,0,long,64,2.56,lost,230.0,,0.0,175,curved,sharp,partial,0.892,0.4057,dung yen,yolov8n-bytetrack,KF + CV,True
MVI_20011,35,0,long,113,4.52,no_before,,,0.1681,217,curved,sharp,partial,0.638,0.2179,dung yen,yolov8n-bytetrack,KF + CV,False
MVI_20011,35,1,short,8,0.32,preserved,263.0,263.0,1.0,217,curved,sharp,partial,1.135,6.7718,dung yen,yolov8n-bytetrack,KF + CV,True
MVI_20011,37,0,long,51,2.04,no_before,,,0.902,193,curved,sharp,partial,5.181,0.2099,cong gat,yolov8n-bytetrack,KF + CV,False
MVI_20011,37,1,long,119,4.76,lost,240.0,,0.1513,193,curved,sharp,partial,1.043,0.0036,dung yen,yolov8n-bytetrack,KF + CV,True
MVI_20011,40,0,long,113,4.52,no_before,,,0.8673,169,curved,sharp,partial,3.189,0.1112,cong nhe,yolov8n-bytetrack,KF + CV,False
MVI_20011,40,1,long,38,1.52,lost,256.0,,0.0,169,curved,sharp,partial,0.98,0.1108,dung yen,yolov8n-bytetrack,KF + CV,True
