std_omega,init_std_omega,sign_acc_pct,omega_est_median,ratio_vs_GT,is_current
0.01,0.1,54.4,0.2515,3.53,False
0.01,0.05,55.0,0.2381,3.34,False
0.01,0.02,55.2,0.2049,2.87,False
0.01,0.01,55.0,0.1827,2.56,False
0.005,0.1,55.6,0.2128,2.98,True
0.005,0.05,55.8,0.1961,2.75,False
0.005,0.02,55.6,0.1503,2.11,False
0.005,0.01,55.0,0.1054,1.48,False
0.002,0.1,54.0,0.2016,2.83,False
0.002,0.05,53.8,0.1846,2.59,False
0.002,0.02,54.2,0.1279,1.79,False
0.002,0.01,54.2,0.0677,0.95,False
0.001,0.1,53.5,0.2055,2.88,False
0.001,0.05,53.5,0.1859,2.61,False
0.001,0.02,53.3,0.1243,1.74,False
0.001,0.01,53.8,0.06,0.84,False
0.0005,0.1,53.3,0.2053,2.88,False
0.0005,0.05,53.3,0.1846,2.59,False
0.0005,0.02,53.3,0.1241,1.74,False
0.0005,0.01,53.5,0.0573,0.8,False
