video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5308376797353117,0.5067015149589511,0.557171704741293,0.6020901371652515,0.8111509095121006,267,2765,14,7655,0.738682485170153,0.9175877448128757,0.6181580666231221
MVI_20012,0.5569014059493426,0.5519975221123764,0.5628265334965503,0.6527648698884758,0.798275019496048,858,2097,34,8608,0.752707016335983,0.8159858868231782,0.6985362453531598
MVI_20032,0.5780405937067795,0.5235771017961008,0.638632669748028,0.5793602896801449,0.7808947094765947,322,375,0,1657,0.786261882858019,0.7992518703241895,0.7736873868436934
MVI_20033,0.5924302228758446,0.5631084577907135,0.6240132536874767,0.6594615092908608,0.8143844014141574,404,1386,6,5274,0.8070248797825632,0.8993476234855545,0.7318923018581721
MVI_20034,0.5632774292713312,0.5701450185978686,0.5570567171542039,0.6378095429836924,0.8426813237443435,657,2902,39,9934,0.7192872950122,0.8242944466120432,0.6380108717535736
MVI_20035,0.6768812820636964,0.6522179761147245,0.7027661975169848,0.7384226064951497,0.8460751014981038,1429,1656,16,11855,0.861900097943193,0.8703130374957,0.8536482496836778
MVI_20051,0.6523598937321596,0.6413699595236576,0.6639380595952801,0.7196104768300873,0.8585466221564849,914,1568,23,8934,0.8091088648774254,0.8410628019323672,0.779494067606895
MVI_20052,0.6856735227658227,0.6591509082402824,0.7140744742730215,0.7433903576982893,0.8479602506568843,922,1175,48,8359,0.839356210142727,0.8524549716259561,0.8266539059696136
MVI_20061,0.5582717993116193,0.5420146619048847,0.575826827249349,0.6227312013828867,0.8382008177585754,550,2904,38,9256,0.7012006436440154,0.8207765864966676,0.6120354364736387
MVI_20062,0.5881059188889625,0.5150127151798706,0.6724275468009094,0.4045271178843568,0.8461914708830289,2079,551,27,4462,0.7074244163796403,0.617195325542571,0.8285522187359928
MVI_20063,0.5409758612295151,0.5126814739430181,0.5715863412265693,0.5804130162703379,0.8215084589149233,531,2128,23,6392,0.7211942433181371,0.8412930135557872,0.6311013767209012
