video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5315539085937475,0.5071579590430387,0.5581659868293066,0.6032658393207054,0.8109090825655958,267,2759,11,7655,0.7405211421438602,0.9192330040674027,0.6199869366427172
MVI_20012,0.5608483953318022,0.5513155511188117,0.571346941641092,0.6512546468401487,0.7979346051807497,866,2102,34,8608,0.7624530663329161,0.8263700488334238,0.7077137546468402
MVI_20032,0.5782293241186877,0.5239420440289312,0.6386420116001839,0.579963789981895,0.7807362177499604,322,374,0,1657,0.7866339668914776,0.7993769470404984,0.7742908871454436
MVI_20033,0.5898551093871702,0.5569042742489274,0.6254120186058852,0.6492226014410315,0.8142697803221535,457,1388,5,5274,0.8025371737548092,0.8885562974902141,0.7317026924535457
MVI_20034,0.5645653537457922,0.5700732981102777,0.5596309015227973,0.6385141936782767,0.8424819455524684,654,2899,38,9934,0.721330080009079,0.8266354532448953,0.6398228306825046
MVI_20035,0.670912503128588,0.6516403659072132,0.6911035042039225,0.7374103753690426,0.8461301575338855,1437,1658,18,11855,0.852143556558389,0.8602372356884992,0.8442007591733446
MVI_20051,0.6544259418519938,0.6403785986436396,0.6691624747498498,0.7164763823595254,0.8585892370863527,924,1575,34,8934,0.8133821223209619,0.8453458891705904,0.783747481531229
MVI_20052,0.6643739272035045,0.6586549813439396,0.670742644865152,0.7420744108146907,0.8479095140747026,926,1179,51,8359,0.8051017309444276,0.8176659264742167,0.7929178131355425
MVI_20061,0.5559923931049788,0.5412072170636149,0.5720092594624684,0.6213267070008643,0.8374140475526545,560,2903,42,9256,0.6996103655142557,0.81816866772747,0.6110630942091616
MVI_20062,0.5814961846725157,0.5149502464361199,0.6577766789646275,0.40363065889735544,0.8459341680538048,2088,545,28,4462,0.7067927773000859,0.6159866777685262,0.8290004482294935
MVI_20063,0.5391360670523747,0.5117067907800328,0.5687549466835952,0.5811952440550688,0.8207270839251061,524,2131,22,6392,0.7134293638722377,0.8332288401253919,0.6237484355444305
MVI_20064,0.4375718375014632,0.41403874073320285,0.4628983353940706,0.47884940778341795,0.8382119738452088,273,7084,35,14184,0.6121445470148907,0.8948867489488674,0.46517202481669484
MVI_20065,0.6193202808863273,0.5992156322013292,0.6416262956327676,0.695383539286547,0.8397553317728388,1111,4072,43,17156,0.8064176581289273,0.890524832687566,0.7368267661459548
MVI_39761,0.6771415130099401,0.6431815191290371,0.7137718699341326,0.7563206024744487,0.8157786048381699,514,385,7,3718,0.8761401189689358,0.8614504808942033,0.8913394298009683
MVI_39771,0.49449459941903057,0.4694479145736306,0.5250536304362289,0.5353675450762829,0.784826453953577,411,1248,16,3605,0.6788011925309901,0.7814306358381503,0.6
MVI_39781,0.5478722414627849,0.5392894443502877,0.5587786370937581,0.5208578527527135,0.8314103127526797,1921,1675,68,7647,0.6635778635778635,0.6532370454833397,0.6742513403949261
MVI_39801,0.46691840276118574,0.41736987277468984,0.5266914212837192,0.4930970533690501,0.7908681963096079,200,2214,46,4853,0.6339053562142486,0.8587530820711519,0.5023696682464455
MVI_39811,0.5540820594672539,0.4883518901236171,0.6299023392563703,0.46410684474123537,0.8228341184864445,183,136,2,599,0.7180722891566265,0.6919504643962848,0.7462437395659433
MVI_39821,0.5053468458211494,0.4741487771646408,0.5413031209077765,0.4831942789034565,0.8200166082697593,763,1375,30,4195,0.6646952944201594,0.7214624616243371,0.6162097735399285
MVI_39851,0.5098304106120413,0.47623527004634064,0.546926862060543,0.5390167772142022,0.8385053872926373,228,2118,17,5126,0.6905046639559914,0.892150803461063,0.5632071790870075
MVI_39861,0.4436005020432675,0.4108666100051959,0.4802318098592445,0.4824561403508772,0.8281478362123014,44,1186,9,2394,0.6357652221612726,0.9257188498402555,0.48412698412698413
MVI_39931,0.591784492872339,0.496113464874254,0.710098436382681,0.400661409310608,0.8359008234030861,1589,757,10,3931,0.708994708994709,0.647071173630065,0.7840244212668532
MVI_40131,0.6583090394662648,0.6749664460651267,0.6435845949488096,0.7837379274340903,0.829795652557703,1318,1946,50,15324,0.8008660892738174,0.8179776810016332,0.7844557556773688
MVI_40141,0.6386662855720192,0.6186044716290391,0.6626890082533418,0.7839922854387656,0.7851405021497011,579,744,21,6222,0.8417623584982491,0.853227670463926,0.8306010928961749
MVI_40152,0.5141710688756738,0.4953756560751848,0.5368708639376824,0.4816464718460442,0.7677681400874289,1385,1498,26,5612,0.6831068310683107,0.6901254773595199,0.6762295081967213
MVI_40161,0.6855278564316025,0.6569008218497712,0.7182903429501224,0.7571320754716981,0.8374132404277078,899,694,16,6625,0.8600520252694166,0.8471449487554905,0.8733584905660378
MVI_40162,0.6762200451520765,0.6593909555883455,0.6950892635613711,0.738211526507415,0.8481684519249176,1324,1566,58,11261,0.8289048473967684,0.8380070786822761,0.8199982239587958
MVI_40171,0.48777358333440124,0.3970863949456006,0.6014834720134502,0.39986559139784944,0.8106986977235068,881,4424,53,8928,0.5731852162369874,0.7617455896007428,0.45945340501792115
MVI_40172,0.43658223633290427,0.39413315331510057,0.4837994524152707,0.43005181347150256,0.8383336683359724,781,9495,64,18142,0.48240841494377945,0.7053457785320323,0.3665527505236468
MVI_40181,0.6286569443620967,0.6238263275865522,0.6347273334321896,0.7317518248175182,0.8218805164616608,965,916,30,7124,0.795131845841785,0.7924160044611739,0.7978663672094329
MVI_40191,0.6925702741655855,0.686974619287999,0.6997256156035959,0.8132861123408245,0.8174814078255007,2374,4725,71,38401,0.8916737182845093,0.920748959778086,0.8643785318090674
MVI_40192,0.6797971041016704,0.6718894549437144,0.6895474904243718,0.8124756058616897,0.7935204617096266,2919,2274,92,28183,0.8937924260230482,0.8837935340641043,0.9040201539935422
MVI_40201,0.6752763599553372,0.6463365322160294,0.7081650526955752,0.7553318077803204,0.8212913933615872,892,1735,46,10925,0.8534298091112487,0.8891093037095814,0.8205034324942792
MVI_40204,0.620003288832348,0.5897681443431699,0.6538710421606148,0.7080881041555199,0.8166691388071081,976,5486,85,22428,0.8080602785901948,0.90975555307512,0.7268146959158195
MVI_40211,0.5706317054692023,0.5321368307569722,0.6153065055771751,0.612304120719675,0.77014648592159,752,1875,45,6892,0.7733986257009715,0.8486739469578783,0.710388856645386
MVI_40212,0.5688719732551801,0.5320833874518347,0.6125326417843898,0.591445614925752,0.7693933868770017,839,2319,61,7879,0.7580893682588598,0.8457571495546179,0.6868891991369463
MVI_40213,0.5354261664797123,0.4905419546444742,0.5896397385700836,0.5521942352635679,0.7547616854262665,808,2590,51,7702,0.7213331375715754,0.8298986486486486,0.6378862633082316
MVI_40241,0.6350923295531112,0.6279037987985919,0.6443077857188888,0.7194922003091769,0.8025539174478135,1946,3942,100,21347,0.832375055285272,0.8753036018810397,0.7934604394060055
MVI_40243,0.6482102204832366,0.6383370874486328,0.6608762352439959,0.7434584755403868,0.8037804247203982,1157,1500,49,10548,0.8515395364525611,0.8658500734933856,0.8376943496397421
MVI_40244,0.6301355648395901,0.6234767958744455,0.6390544792461378,0.7233004199296335,0.790710620632515,982,1417,39,8811,0.839122592657241,0.8609121298949379,0.8184088071728521
MVI_40732,0.6567012045789046,0.6664159069818962,0.6483744848104721,0.7710215427380125,0.8219545698978329,1759,832,45,11512,0.7844348878961213,0.7552054023635341,0.8160180681028492
MVI_40751,0.6144385665344957,0.596152746593833,0.6458726970385329,0.7225832656376929,0.7920444732078278,807,1220,22,7386,0.7247022773173619,0.7461637745590133,0.7044408340102898
MVI_40752,0.5403488921091469,0.46561997496175916,0.6286236626536258,0.5170306195110372,0.8235077476547655,895,7189,55,16852,0.6805545421379059,0.8834059480962303,0.5534654640398766
MVI_40871,0.6666799030848051,0.5836632546036713,0.7710460221188894,0.6661296928327645,0.8533881725333264,1290,10894,44,36625,0.7550513779341985,0.8892342992487324,0.6560546075085324
MVI_40962,0.6563630604939745,0.6453589126154953,0.6691984144926023,0.7179419525065963,0.8084220640306783,747,1372,19,7580,0.8463708290333677,0.8843997124370956,0.8114775725593667
MVI_40963,0.5568213465735953,0.5283611716109927,0.5908945573075439,0.6702465847581407,0.7404789769320997,735,3067,36,11639,0.8082688818867564,0.909530460943376,0.7272961594638715
MVI_40981,0.6240857043676997,0.6106309100063761,0.6413173332549711,0.7929268528360228,0.7415455397694044,834,1268,41,10349,0.8765298065534939,0.8957135653050933,0.8581505459464682
MVI_40991,0.30533515746966156,0.39059667168623036,0.24074188500728128,0.4687639446675591,0.725891610348697,316,2030,35,4482,0.4306206896551724,0.5639450867052023,0.34828201695671573
MVI_40992,0.3136683052374191,0.3981607033731598,0.24999906823484533,0.3990517581983406,0.7455501616626882,648,2338,56,5062,0.40360445814560114,0.5047449584816133,0.3362307388384038
MVI_41063,0.5912081023307812,0.5443842557172832,0.6451132705110157,0.6232085987261147,0.804278977739032,664,3075,47,10048,0.7618886061634154,0.8821526777530444,0.6704816878980892
MVI_41073,0.6477260647798594,0.6174339596480336,0.6826985828024863,0.7258863525983487,0.7918241867067594,919,1856,47,10295,0.8360046812191523,0.8778585167770891,0.7979601748421564
MVI_63521,0.6907725620535947,0.6796381754818678,0.7030200981794493,0.7949363732767762,0.852153464773247,440,2628,26,15088,0.8801629269687009,0.9548062015503876,0.8163441145281018
MVI_63525,0.7638455748725514,0.7308924036538209,0.8040481757723865,0.8628242074927954,0.8488054490465394,114,351,11,3470,0.905564672534686,0.9387565728425611,0.8746397694524496
MVI_63544,0.4795839685181303,0.43931781038952095,0.5250484803122815,0.4335201222618441,0.7903377433186317,441,650,21,1963,0.64030131826742,0.6784492588369442,0.6062149770759042
MVI_63552,0.5300897981414994,0.4818227894675572,0.589057299306608,0.5159566990018276,0.7535760771505342,1017,2390,36,7113,0.7181202832023652,0.804006968641115,0.6488120343033882
MVI_63553,0.5424014039266162,0.48865121198971895,0.6059784524337771,0.5869141531322506,0.7557655021593102,746,3660,45,10775,0.7368534020176003,0.8734257728024425,0.6372157772621809
MVI_63554,0.5812808521384296,0.5310215368783762,0.6387797499113465,0.624657256017061,0.7845143283318455,692,2957,47,9847,0.7681450456136325,0.8828805064626748,0.6798009546054636
MVI_63561,0.551917424858245,0.4855224789728082,0.6304699641201134,0.5358563704988268,0.7922444914381086,1074,3419,57,9803,0.7134001506285846,0.8255564494502547,0.6280730388656534
MVI_63562,0.5912822271994882,0.5436651082723073,0.6467254981690997,0.6311377245508982,0.7946766985519169,547,1873,44,6680,0.7699850423799236,0.865334329473291,0.693562874251497
MVI_63563,0.5855314592282044,0.5170107000540627,0.6669894324301694,0.6021539104976997,0.7986635608272283,614,3144,47,9564,0.7535847692493072,0.889110036963321,0.6539104976997072
