video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5475727255297902,0.5236003468828216,0.5736133369812011,0.6218158066623122,0.8082370258309521,326,2559,10,7655,0.7591955341439168,0.915529324972335,0.6484650555192685
MVI_20012,0.5612456109972548,0.53853583576071,0.5859122318895216,0.622792750929368,0.7944742757353138,1365,1861,21,8608,0.7535885167464115,0.7766272189349113,0.7318773234200744
MVI_20032,0.5624777356349885,0.4957807478029647,0.6385745726850169,0.5093542546771274,0.7792281299442843,447,366,0,1657,0.7605301914580265,0.742807825086306,0.7791188895594447
MVI_20033,0.6006900971860626,0.5634067093887958,0.6411010986677312,0.6518771331058021,0.8108400515758436,613,1220,3,5274,0.811185997384569,0.8639382901221341,0.764505119453925
MVI_20034,0.5824013734459623,0.5841675692628716,0.5813103553900318,0.6482786390175156,0.8373861986892641,922,2542,30,9934,0.7394782989916703,0.8115227327399567,0.6791826051942823
MVI_20035,0.674315140526237,0.6481920915434172,0.7018335912540943,0.7261071277941796,0.8434047628184942,1765,1464,18,11855,0.8505268418641456,0.839996709443896,0.8613243357233235
MVI_20051,0.6483216603150339,0.6272537074868664,0.6704613249045851,0.6889411237967316,0.8577493604603742,1281,1476,22,8934,0.8003168675380524,0.8092459091429225,0.7915827177076338
MVI_20052,0.6909980470728986,0.6503009006563838,0.7347999794831935,0.7265223112812538,0.8468865626299662,1339,920,27,8359,0.8390033261364299,0.8189792663476874,0.8600311041990669
MVI_20061,0.5601691009647688,0.5509650392405582,0.5708045657480016,0.6262964563526361,0.8328889229552023,881,2541,37,9256,0.6926180868739615,0.7682991047919958,0.6305099394987036
MVI_20062,0.5897796942617411,0.5063246024230642,0.6875073432221818,0.38816674137158225,0.8449853429758319,2292,428,10,4462,0.6994809047089359,0.5964274423016124,0.8455849394890184
MVI_20063,0.5765956208658046,0.542546394655804,0.6134646768212622,0.6174906132665833,0.8168154917775802,719,1708,18,6392,0.757778719796524,0.8271330742180271,0.6991551939924906
MVI_20064,0.46415881374492846,0.4425321972430729,0.48762916842072485,0.5121263395375071,0.8332615459470619,431,6466,23,14184,0.6422782429588502,0.8801079887102712,0.5056401579244219
MVI_20065,0.634507767634587,0.6068122260277334,0.6650113728508731,0.7005712287246444,0.8341451046025828,1702,3411,24,17156,0.8209060515903445,0.8663170842234739,0.780018652366519
MVI_39761,0.6697048029520678,0.6267462753176732,0.7164149495921874,0.7221624529316837,0.8151549385604524,668,359,6,3718,0.8630083925112976,0.8298981872361559,0.898870360408822
MVI_39771,0.505219447261025,0.46245769868021797,0.5558918917328536,0.5048543689320388,0.7810946378897838,601,1174,10,3605,0.6970016573753202,0.7628627968337731,0.6416088765603328
MVI_39781,0.5398658142277507,0.5128366508987284,0.570558511722756,0.4370341310317772,0.826824721476404,2828,1422,55,7647,0.6518562874251497,0.6012371589528334,0.711782398326141
MVI_39801,0.47668163722179485,0.4327127213622356,0.5304357556851764,0.4994848547290336,0.785788751243415,358,2028,43,4853,0.6431060228969636,0.8118127552623311,0.532454152070884
MVI_39811,0.5363158419845232,0.4461665141901708,0.6459056353282071,0.327212020033389,0.8089761334874219,297,103,3,599,0.6824712643678161,0.5989911727616646,0.7929883138564274
MVI_39821,0.5061242062659312,0.45995080001896366,0.559559025671831,0.434326579261025,0.8108706408068219,1187,1161,25,4195,0.656606463878327,0.6545842217484008,0.6586412395709178
MVI_39851,0.5337707982175592,0.49826174064684176,0.5731116697561625,0.5559890753023801,0.8353353413098376,346,1912,18,5126,0.71977895463965,0.8780898876404495,0.609832227857979
MVI_39861,0.47295587629377767,0.43436921743250245,0.5159726302329131,0.5108604845446951,0.8235710845673552,71,1095,5,2394,0.6758767268862912,0.9284671532846716,0.531328320802005
MVI_39931,0.5830250946409707,0.46772641025533046,0.7304796435734155,0.2968710251844314,0.8330538469711534,2090,666,8,3931,0.6961016584105104,0.603548085901027,0.8221826507250064
MVI_40131,0.6513096539032355,0.665750988184683,0.6386719711015889,0.7635734795092665,0.8278468157040568,1826,1750,47,15324,0.7875276656685327,0.7855844155844156,0.7894805533803184
MVI_40141,0.6263195637917495,0.5796151448755772,0.6800347818143846,0.7036322725811636,0.782951259965368,1270,557,17,6222,0.8164475184312533,0.7744772891131939,0.8632272581163613
MVI_40152,0.49532928135968624,0.4493911757966468,0.5490190175114177,0.3212758374910905,0.7655398006690074,2412,1373,24,5612,0.6349180461551007,0.5853255149601564,0.6936920883820384
MVI_40161,0.6754565192543376,0.6338251783638504,0.7227885205498898,0.7061132075471698,0.835780739155113,1341,589,17,6625,0.8428795886301956,0.7999186661244408,0.8907169811320754
MVI_40162,0.6814296196454481,0.6618676313850039,0.7033176807484867,0.7364354853032591,0.8449185093222414,1653,1281,34,11261,0.8262426836725779,0.8130318920312903,0.8398898854453424
MVI_40171,0.47463921706177414,0.3959814071844767,0.5712906044466446,0.36570340501792115,0.8052684901831645,1280,4337,46,8928,0.5439556726805865,0.6855731561914495,0.450828853046595
MVI_40172,0.4397224898605502,0.3945942902915066,0.49019367833634425,0.4287289163267556,0.8368979161440598,901,9410,53,18142,0.4838883888388839,0.6976019931485519,0.3704112005291589
