video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5441017692713811,0.5226632788683439,0.5675624094471352,0.6195950359242325,0.807883693431764,330,2571,11,7655,0.7483357563700359,0.903213889915035,0.6387981711299804
MVI_20012,0.5611718654638094,0.5387695204182209,0.5855238786950215,0.6240706319702602,0.7941771462035232,1360,1856,20,8608,0.7533492822966508,0.7763806706114399,0.7316449814126395
MVI_20032,0.5649135037027727,0.49994858326372377,0.6387371444359936,0.5196137598068798,0.7794359876158968,430,366,0,1657,0.7643576080521018,0.7501452643811737,0.7791188895594447
MVI_20033,0.5940981559247549,0.5554679260737146,0.6361817894551202,0.630451270383011,0.8114335898480963,723,1219,7,5274,0.7990449661758854,0.8405190456257848,0.7614713689799014
MVI_20034,0.5809876227625622,0.5832639694964596,0.5794243471153863,0.6469700020132877,0.8375700842001689,915,2562,30,9934,0.7348663629877614,0.8078918788463859,0.6739480571773706
MVI_20035,0.675486516749757,0.6486862485901025,0.7037122260809128,0.7259384226064951,0.8437586367864419,1764,1470,15,11855,0.8527745375770704,0.8424561692320356,0.8633487979755378
MVI_20051,0.6480947685351508,0.6251896424956861,0.6722093099192386,0.6867024848891874,0.8574190926242485,1309,1475,15,8934,0.800248559484804,0.8078239051094891,0.792813969106783
MVI_20052,0.6910361625267581,0.6500936058331241,0.7352196395399339,0.7256848905371456,0.8470437492937298,1346,921,26,8359,0.8348597095024208,0.8146630236794171,0.8560832635482714
MVI_20061,0.5622179436827894,0.5511861056752538,0.5746627593419005,0.6269446845289542,0.8326357941241472,891,2529,33,9256,0.6975228161668839,0.7725124704646888,0.6358038029386344
MVI_20062,0.5935484120616356,0.5071917915737202,0.6951230109734643,0.39108023307933665,0.8444980339583896,2282,423,12,4462,0.7075952888806455,0.6035437430786268,0.8549977588525325
MVI_20063,0.5786919000984428,0.5479143051146753,0.6119310738505982,0.6276595744680851,0.8161888028447661,683,1679,18,6392,0.7522904648795385,0.8217197924388436,0.6936795994993742
MVI_20064,0.46423326874846416,0.4431254094113892,0.48711207331075473,0.5138183869148336,0.8320101713306641,435,6436,25,14184,0.641659587785577,0.8769399975559086,0.505922165820643
MVI_20065,0.6327552190935228,0.6047514624680674,0.663600031424637,0.6971321986477035,0.833874188622403,1737,3433,26,17156,0.8177581555064999,0.8626131953428202,0.7773373746794124
MVI_39761,0.6686037003342546,0.6278598452817213,0.7128611423106851,0.7256589564281872,0.814619797201924,653,360,7,3718,0.8619485056281537,0.8304662179007729,0.8959117805271651
MVI_39771,0.5016977447840721,0.46258633478966243,0.5463780766927716,0.5056865464632455,0.7805528255933338,599,1173,10,3605,0.6895720313441832,0.7548663807324315,0.6346740638002774
MVI_39781,0.5345440507437259,0.509905894660557,0.562773479265983,0.43481103700797696,0.8276535913548739,2832,1426,64,7647,0.6440718562874251,0.5940572186015686,0.7032823329410226
MVI_39801,0.4766328184462866,0.4356188603766506,0.5266865161547787,0.5079332371728827,0.786162239014156,316,2031,41,4853,0.6439744712801903,0.819949012109624,0.5301875128786318
MVI_39811,0.5376955137967799,0.4498570954351262,0.6437868550604219,0.34390651085141904,0.8134865167953662,279,111,3,599,0.6852122986822841,0.6101694915254238,0.7813021702838063
MVI_39821,0.5013660056326319,0.454021638283261,0.5562664817653838,0.41120381406436235,0.8117250160199999,1278,1166,26,4195,0.6501999529522465,0.6417459948920362,0.6588796185935638
MVI_39851,0.5307820584737853,0.4961880814426724,0.5691464338814631,0.5532579008973859,0.8349145009991404,351,1921,18,5126,0.7168855102510943,0.875140607424072,0.6071010534529848
MVI_39861,0.47185721415860976,0.43343203431483657,0.5148260419269926,0.5096073517126148,0.8230312780046751,72,1096,6,2394,0.6737513283740701,0.9255474452554745,0.529657477025898
MVI_39931,0.580516920895456,0.4668747525613104,0.7255817103142408,0.2953446960061053,0.8323808360161702,2092,670,8,3931,0.6928048255062473,0.6007846067625631,0.8181124395828033
MVI_40131,0.6589768084761579,0.6663835139937727,0.6530765477853973,0.7622683372487601,0.8280368122281802,1859,1747,37,15324,0.794408322496749,0.7915263021508163,0.7973114069433568
MVI_40141,0.6253256154298541,0.5785939840417467,0.678822528933584,0.702346512375442,0.7822663825719632,1272,563,17,6222,0.8157834714513799,0.7740585774058577,0.8622629379620701
MVI_40152,0.4930934226657294,0.4508428655991642,0.5422039147552532,0.32555238774055595,0.7650077023926687,2389,1372,24,5612,0.6311575851646107,0.5827424950972997,0.6883464005702067
MVI_40161,0.6744254796578156,0.6343858955475349,0.7198993025346242,0.7080754716981132,0.8351207871595061,1320,596,18,6625,0.8455703449262917,0.8039189005306845,0.8917735849056604
MVI_40162,0.6792976047841343,0.6604215931937726,0.7003569194309512,0.735547464701181,0.8447452509522743,1645,1297,36,11261,0.8257979886313949,0.8134206219312602,0.8385578545422254
MVI_40171,0.47522773681151287,0.3961670424797563,0.5724249992946637,0.3667114695340502,0.8047968091407445,1275,4334,45,8928,0.5472730958978171,0.6898960640654285,0.45351702508960573
MVI_40172,0.4382225945181027,0.39539423584215905,0.4858510736769022,0.4297762098996803,0.8368754777892523,882,9408,55,18142,0.48432884213560057,0.6990432612312812,0.3705214419578878
MVI_40181,0.6160131427132756,0.625404548031803,0.6078333059898915,0.7255755193711398,0.8214703484753545,1237,691,27,7124,0.7617953224280114,0.7346805736636245,0.7909882088714205
MVI_40191,0.6961795113851191,0.6896783503175423,0.7042820005268372,0.811385120179162,0.8159509163026393,2813,4366,64,38401,0.8922377706016027,0.9110399478940512,0.8741959844795708
MVI_40192,0.6780773229818924,0.6683762766730946,0.6895630097469659,0.8035695277294823,0.7916161814233943,3475,1976,85,28183,0.8926293960079495,0.8700896166026548,0.9163680232764433
MVI_40201,0.6763490267504191,0.6491321592744423,0.7076669417787983,0.7496567505720824,0.8186515278094801,1132,1560,43,10925,0.854261973671926,0.8716776221777651,0.8375286041189931
MVI_40204,0.6329653306680261,0.610364104040123,0.6588305933798311,0.7294899233101481,0.8117119592247295,1391,4592,84,22428,0.8195414716120514,0.887762001352265,0.7610576065632245
