video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5443423443086856,0.5227766610841776,0.5679436972356486,0.6202482037883736,0.8074632122557571,330,2566,11,7655,0.7486614655040539,0.9031186565787046,0.6393207054212933
MVI_20012,0.5644186863750563,0.5370479657470401,0.5940300964254149,0.6229089219330854,0.7935690106394225,1365,1861,20,8608,0.7633971291866029,0.7867357001972387,0.7414033457249071
MVI_20032,0.5653223197937421,0.5008028543476053,0.6385606214645504,0.5214242607121303,0.7789009299117732,431,362,0,1657,0.7655926692284954,0.7502896871378911,0.7815328907664454
MVI_20033,0.5922130287340991,0.5507345411755867,0.6375036147626695,0.6219188471748198,0.8112754711988627,768,1220,6,5274,0.7955625990491284,0.8328494400663625,0.7614713689799014
MVI_20034,0.5821789598683317,0.5835549805847832,0.5814900635821866,0.6461646869337628,0.8375709135217786,924,2559,32,9934,0.7392091263094389,0.8120255452464152,0.6783772901147574
MVI_20035,0.6704962887766266,0.6483949223113268,0.6937170099618694,0.7253479544495993,0.8438176212530828,1766,1472,18,11855,0.8449425095817363,0.8347189069059182,0.8554196541543653
MVI_20051,0.6516544508479601,0.6247150878173373,0.6800930821469705,0.684911573763152,0.8572932590237775,1318,1477,20,8934,0.806934327178271,0.8142450142450143,0.7997537497201701
MVI_20052,0.6922908214004755,0.6495869698034538,0.7383544976255055,0.7244885751884197,0.8469409399882247,1357,917,29,8359,0.8398414733651941,0.8188430503466303,0.8619452087570284
MVI_20061,0.5634298596863501,0.550954834096412,0.577173668483779,0.6268366464995678,0.8315875195657291,898,2521,35,9256,0.7054295695423056,0.7804270928861522,0.6435825410544511
MVI_20062,0.5878966480789357,0.5061611011925734,0.6834837304441291,0.38995965934558496,0.8434926847984123,2284,426,12,4462,0.7067334446299388,0.6028481012658228,0.8538771851187809
MVI_20063,0.5781523116653514,0.5479285785510982,0.6107231375340625,0.6273466833541927,0.8160674195201821,685,1680,17,6392,0.7527356009839681,0.8221234018899388,0.6941489361702128
MVI_20064,0.4641321942937185,0.4423913731806222,0.48756054367177354,0.5128313592780598,0.8311664301295446,442,6439,29,14184,0.6436904921550222,0.8794430194210333,0.5076142131979695
MVI_20065,0.630757640029684,0.6045986784818116,0.659625569510967,0.6975402191653066,0.8332574268225974,1758,3403,28,17156,0.8133590473566596,0.8564889433305396,0.7743646537654465
MVI_39761,0.6673858549015041,0.6255448796962856,0.7128867614220071,0.7208176438945669,0.8148328192939095,670,361,7,3718,0.8599096191091027,0.8269183014651105,0.8956428187197418
MVI_39771,0.4939191587651322,0.4633196989375299,0.5307477478947522,0.5065187239944522,0.7815684065139875,595,1174,10,3605,0.6659629015231489,0.729676140118969,0.6124826629680998
MVI_39781,0.5336812318106586,0.5128461703875643,0.5576559872032344,0.4427880214463188,0.8267318609861213,2805,1403,53,7647,0.6382367034020124,0.5887943419162338,0.6967438211063162
MVI_39801,0.4783585238045074,0.4383356522693273,0.5271516189778472,0.5163816196167319,0.7859062230404752,279,2024,44,4853,0.646652430599171,0.8281853281853282,0.5303935709870183
MVI_39811,0.5376484876356354,0.44980306207415377,0.6437378650651313,0.34390651085141904,0.8134637307366716,279,111,3,599,0.6852122986822841,0.6101694915254238,0.7813021702838063
MVI_39821,0.5033660285344674,0.45778529631664394,0.5560958474563553,0.42169249106078666,0.811827736634659,1235,1165,26,4195,0.6536643026004728,0.6483001172332943,0.6591179976162098
MVI_39851,0.5279409021175175,0.4961229619077269,0.5630490489769232,0.5536480686695279,0.8364358301181363,339,1930,19,5126,0.7022283800946773,0.8602545968882602,0.593250097541943
MVI_39861,0.4573029425757746,0.43171305604455795,0.4857934816879521,0.5054302422723476,0.8245258398191556,71,1105,8,2394,0.6521044219499201,0.9,0.5112781954887218
MVI_39931,0.5811799514108248,0.4677163342158154,0.7260015419610027,0.2968710251844314,0.8327678743814215,2084,672,8,3931,0.6931205520810869,0.6015347183230395,0.817603663190028
MVI_40131,0.6660854054627705,0.6672568439062078,0.6663193535520814,0.764878621769773,0.8278409584152481,1826,1741,36,15324,0.8153450688185339,0.8130962424557077,0.8176063690942312
MVI_40141,0.6250083406168856,0.5780779791267519,0.6786942328969838,0.6994535519125683,0.7830221794058277,1284,568,18,6222,0.8159574468085107,0.7738541366388008,0.8629058180649309
MVI_40152,0.4954369421343844,0.4558344092344737,0.5412940213586116,0.33838203848895226,0.765867827602943,2309,1377,27,5612,0.633761105626851,0.5886308068459658,0.6863863150392017
MVI_40161,0.6742213517735988,0.6345026373661566,0.7193244658391693,0.7077735849056603,0.8351653395115828,1321,595,20,6625,0.845163136805953,0.8034281050197252,0.8914716981132076
MVI_40162,0.6791846685932353,0.6602540430525158,0.7004131841118401,0.7348370482195187,0.8445236238604401,1654,1297,35,11261,0.8231128982910092,0.8104665174728869,0.8361601989166149
MVI_40171,0.4750225118707521,0.39606466268257173,0.5720789695471551,0.36626344086021506,0.8049721740113629,1279,4334,45,8928,0.5472603202486318,0.6895964583688065,0.4536290322580645
MVI_40172,0.43866010694773144,0.39550925365109374,0.4867100324039935,0.4296108477565869,0.8370586450918303,885,9409,54,18142,0.4845821325648415,0.6993137866500312,0.3707419248153456
MVI_40181,0.6260888754433795,0.6239632330543681,0.6294938211547605,0.724171813587872,0.8210942822196435,1242,697,26,7124,0.7830730751030893,0.75524840266006,0.8130263896687254
MVI_40191,0.6960307653531216,0.6898475194045901,0.7037863923314907,0.8114372021561939,0.8161099197420576,2811,4369,61,38401,0.8918186167667854,0.9106750264636431,0.8737272466862842
MVI_40192,0.6779821443582622,0.6683792008493598,0.6893356291189247,0.8032856686655075,0.7918256311710492,3472,1984,88,28183,0.8921768589898711,0.8698055340231202,0.9157293403825001
MVI_40201,0.6744844439602131,0.6487371921224859,0.70426892743479,0.7479176201372998,0.8187471295629314,1140,1570,44,10925,0.8506069094304388,0.8680323963792282,0.8338672768878719
MVI_40204,0.6325648447637017,0.6110490668778437,0.6573019557084564,0.7300249687890137,0.8114729507987517,1406,4564,85,22428,0.8189361600076742,0.8860404774260509,0.7612805421794185
MVI_40211,0.5787709931628767,0.5413744001429656,0.6222353744970409,0.6192687173534532,0.769257883709799,824,1759,41,6892,0.7798272239084754,0.8410273627664931,0.7269297736506094
MVI_40212,0.5758799321008157,0.542733607368108,0.6157061143043695,0.6023607056733088,0.7676653958285231,893,2181,59,7879,0.7662750518313752,0.8411470186618115,0.7036425942378475
MVI_40213,0.5460672297914526,0.500311632305011,0.6015507625368993,0.5679044404050896,0.7526506675730037,838,2442,48,7702,0.7366666666666667,0.8335519842571335,0.6599584523500389
MVI_40241,0.6410811237446573,0.6342744059976141,0.6499122461871341,0.7265657937883543,0.8016328205477913,2126,3612,99,21347,0.8374587458745875,0.8687880771360958,0.8083103012132853
MVI_40243,0.6497480370278206,0.6400918655277327,0.6622330823861876,0.7445013272658324,0.8030833806551964,1277,1371,47,10548,0.8530616131796972,0.8568968815764301,0.8492605233219568
MVI_40244,0.6341699635913317,0.6269400519054784,0.6435671648161179,0.7268187492906594,0.7897473460206559,1063,1302,42,8811,0.8440430305470862,0.8558096126924871,0.832595619112473
MVI_40732,0.6381754174928368,0.627206135767377,0.6504686424993148,0.6983148019457956,0.8215618735010377,2700,732,41,11512,0.7574423815620999,0.7021513353115727,0.8221855455177206
