video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.534150936841744,0.5079315632122426,0.5626411036373664,0.6052253429131287,0.811292668404037,262,2747,13,7655,0.7488499025341131,0.9288201160541586,0.6273024167210973
MVI_20012,0.5653314193207902,0.5467329352309018,0.5856806528135142,0.6510223048327137,0.7992767938937039,875,2093,36,8608,0.7719714964370546,0.8355886332882273,0.7173559479553904
MVI_20032,0.576307807156727,0.5216758394136685,0.6371545752653907,0.5757392878696439,0.7805776805012643,328,375,0,1657,0.7848178757269666,0.7962732919254658,0.7736873868436934
MVI_20033,0.5911022260103032,0.5566463575026288,0.628303509007661,0.6503602578687903,0.8136197072527799,457,1384,3,5274,0.8059453279284897,0.8918794570968483,0.7351156617368222
MVI_20034,0.5677328335805231,0.5690853229521073,0.566899528129334,0.6371048922891082,0.842347405003532,662,2904,39,9934,0.7322137751049586,0.8389235569422777,0.6495872760217435
MVI_20035,0.6771497487766865,0.6521468200296161,0.7033909301148497,0.7384226064951497,0.8462606049124888,1441,1644,16,11855,0.8621261751818607,0.8696361139718504,0.8547448334036272
MVI_20051,0.6517770376749829,0.6392701142479279,0.6648984467862155,0.7149093351242445,0.8586434312415961,950,1566,31,8934,0.8095293299327614,0.8395046886270738,0.781620774569062
MVI_20052,0.6878074058004499,0.6596540901988515,0.7178515392542707,0.7439885153726522,0.848161848877526,923,1169,48,8359,0.8453132588635259,0.858128928879576,0.8328747457829884
MVI_20061,0.5563211303191551,0.5416917807905784,0.5721896211149994,0.6219749351771824,0.8382108495605478,569,2894,36,9256,0.700438623586829,0.8179194921367768,0.6124675885911841
MVI_20062,0.5857388816612028,0.5155293154911075,0.6664260048810892,0.4031824294038548,0.8474297630657011,2092,547,24,4462,0.703219027605311,0.6127850840685867,0.8249663827879874
MVI_20063,0.543298313060685,0.5123161619030825,0.57687712241189,0.5816645807259074,0.8210053420183981,531,2123,20,6392,0.72337383845604,0.8433333333333334,0.6332916145181476
MVI_20064,0.43763300279921924,0.41548179807987484,0.4615964279181643,0.48004794134235756,0.8391476226803403,273,7070,32,14184,0.6115618191089889,0.8929199945850819,0.46503102086858433
MVI_20065,0.6229742600260252,0.5996943003192842,0.6486358316627668,0.6959664257402658,0.8398916112267802,1140,4042,34,17156,0.817510347023241,0.900729619755858,0.7483679179295873
MVI_39761,0.6787987938765603,0.6431718224728773,0.7172230638685878,0.7552447552447552,0.816055629544661,519,385,6,3718,0.8782034346103038,0.8629283489096573,0.8940290478752018
MVI_39771,0.5065877893476493,0.4691399887686462,0.5508122563858506,0.5348127600554785,0.7849206082299818,424,1241,12,3605,0.7054590958861254,0.8088235294117647,0.6255201109570042
MVI_39781,0.550321421711676,0.5382850456810622,0.5647402446579005,0.5139270302079246,0.8310861168478323,1974,1671,72,7647,0.6743604539334488,0.6615094339622641,0.6877206747744213
MVI_39801,0.4647751189798667,0.4189917262011748,0.5201979076584266,0.494539460127756,0.7908824838385766,210,2203,40,4853,0.6293271100739012,0.8486013986013986,0.5001030290541932
MVI_39811,0.5537968705893449,0.4792376997951518,0.6412494808550321,0.4540901502504174,0.8211346312217207,189,135,3,599,0.7188498402555911,0.6891271056661562,0.7512520868113522
