video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.531358683977372,0.5069795513410268,0.5578704826887932,0.6028739386022207,0.8110622607161481,268,2761,11,7655,0.7402668331122728,0.9190236342502905,0.6197256694970608
MVI_20012,0.5601326300930299,0.5494087068313407,0.5718587514171114,0.6467239776951673,0.7982417367162519,908,2099,34,8608,0.7606864274570982,0.8217608197384387,0.7080622676579925
MVI_20032,0.5766827393543063,0.5214345988517328,0.6382376389722734,0.5745322872661436,0.7806388371044173,331,374,0,1657,0.7844695811678386,0.7949194547707559,0.7742908871454436
MVI_20033,0.5882600703003867,0.5538736167178464,0.6254419136644538,0.643344709897611,0.8141795790573796,488,1388,5,5274,0.7999585406301825,0.8822588020118884,0.7317026924535457
MVI_20034,0.5635761884380432,0.5702900951204977,0.5574849019436762,0.6389168512180391,0.8424436674871817,650,2898,39,9934,0.7200908059023836,0.8253968253968254,0.6386148580632173
MVI_20035,0.6747653315916695,0.6503194815382682,0.7004320547289398,0.7353015605229861,0.8459871145016762,1462,1657,19,11855,0.8583457367637678,0.8655231560891938,0.8512863770560944
MVI_20051,0.6674992625411509,0.6392393366721167,0.697252445291796,0.7132303559435863,0.8586280551172284,949,1571,42,8934,0.8379914182998957,0.8693455245428297,0.8088202372957242
MVI_20052,0.6648745732484685,0.6588956254702021,0.6715068821833118,0.7429118315587989,0.8478592518384174,927,1175,47,8359,0.805464480874317,0.8177783257304895,0.7935159708099055
MVI_20061,0.5548425061303043,0.5412231196035491,0.5696664629826184,0.6213267070008643,0.8367068945787842,572,2886,47,9256,0.6962587973823929,0.8123019302794584,0.6092264477095938
MVI_20062,0.5797768012263019,0.5142594356899461,0.6547336817618303,0.4016136261766024,0.8460095517617245,2095,546,29,4462,0.7033323784970877,0.6127100316087174,0.8254146122814882
MVI_20063,0.5277377908549006,0.5111516041625184,0.5456892793907094,0.5783792240300375,0.8211020412449699,534,2129,32,6392,0.6969344892304943,0.812799666458203,0.6099812265331664
MVI_20064,0.4345168791319441,0.41378939355340927,0.4567714977915936,0.47828539199097575,0.8381754125851115,278,7085,37,14184,0.6106395807244562,0.8923681713433645,0.4641144952058658
MVI_20065,0.6186631979123771,0.5984959994809197,0.641105253198819,0.6944509209605969,0.8398665773550403,1128,4067,47,17156,0.8052784241226533,0.8885137511429978,0.7363021683376079
MVI_39761,0.6795099724489595,0.6438555017525075,0.7180408988374035,0.7576654115115654,0.8161763073767488,511,384,6,3718,0.8792807087134735,0.8647594278283485,0.8942980096826251
MVI_39771,0.49786059158196866,0.4681076863919795,0.5335948591639309,0.5331484049930652,0.7851159576423087,414,1254,15,3605,0.691679748822606,0.7967450271247739,0.6110957004160887
MVI_39781,0.5458817169020991,0.5371420984874216,0.5568300577305494,0.5113116254740421,0.8309343872290886,1983,1671,83,7647,0.6606433423042419,0.6476944339741173,0.674120570158232
MVI_39801,0.46655630736366105,0.41738927455554875,0.5258399761933071,0.49268493715227696,0.7910087207337414,201,2214,47,4853,0.6333030027297544,0.8577464788732394,0.5019575520296724
MVI_39811,0.5524813411553025,0.48570757224057504,0.629678989371017,0.4574290484140234,0.8225673541258449,187,136,2,599,0.7157726180944756,0.6876923076923077,0.7462437395659433
MVI_39821,0.5035615357835039,0.47078674687309585,0.5413145234702904,0.47461263408820026,0.8199871347873491,799,1375,30,4195,0.6616329664704377,0.7142857142857143,0.6162097735399285
MVI_39851,0.5061937467530099,0.47738238641898545,0.5379173046235891,0.5392118611002731,0.8389569169487628,227,2117,18,5126,0.6859602965797656,0.8862793572311496,0.5595005852516582
MVI_39861,0.4435091433291606,0.410210216070638,0.48082656992822104,0.4803675856307435,0.8284155336329142,49,1186,9,2394,0.63489454943851,0.9220365950676214,0.48412698412698413
MVI_39931,0.591615003529345,0.4961408683191139,0.7096358259478128,0.40117018570338336,0.8354378606492108,1587,756,11,3931,0.7090762682618199,0.6472070558588828,0.7840244212668532
MVI_40131,0.6594344324505652,0.6747363970436785,0.6459964003464544,0.7833463847559384,0.8298999210704825,1327,1943,50,15324,0.8016116142781033,0.8183981506663041,0.785499869485774
MVI_40141,0.6368788843289604,0.6150880503388132,0.6626856737827266,0.7777242044358728,0.7850546598167722,619,743,21,6222,0.8391233766233767,0.8476549688422433,0.8307618129218901
MVI_40152,0.5138588469732973,0.49529116046853083,0.5362206184983168,0.48004276550249464,0.7688877527675931,1399,1490,29,5612,0.682116231024881,0.687737728672342,0.6765858873841768
MVI_40161,0.6857651075857276,0.65683078749746,0.7188356394468789,0.7566792452830189,0.8375644424057477,900,696,16,6625,0.8604132599970269,0.8475618685019769,0.8736603773584906
MVI_40162,0.674374078351906,0.659181662015637,0.6915750311755267,0.7381227244472072,0.8481211997534315,1330,1562,57,11261,0.8238672050246747,0.8325324145434763,0.8153805168279904
MVI_40171,0.4793432055291272,0.39721307416491486,0.5801312917888378,0.3989695340501792,0.8115191244382106,895,4422,49,8928,0.5584479028543513,0.7407887428254027,0.44814068100358423
MVI_40172,0.4390119575751169,0.39426688293547946,0.4890691263372364,0.4302722963289604,0.8384931400660242,782,9492,62,18142,0.48175817799376225,0.7041984732824428,0.36611178480873113
MVI_40181,0.6290991041150452,0.6239216936362261,0.6355437421336273,0.7317518248175182,0.8221186036129274,967,916,28,7124,0.7953003706552906,0.7924738675958188,0.7981471083660865
MVI_40191,0.6924989098476683,0.6870029843750987,0.699547603028801,0.8135465222259837,0.8174179035407787,2369,4720,71,38401,0.8917811715087776,0.9208599167822469,0.8644826957631312
MVI_40192,0.6797209485034135,0.6719448499148976,0.6893446124907988,0.8124756058616897,0.7935651924934759,2919,2274,92,28183,0.8937222641244672,0.8837241570695158,0.9039491892275485
MVI_40201,0.6755954374040999,0.6468706624186131,0.7082897042163075,0.7550572082379863,0.8218104123677384,893,1737,46,10925,0.8531848043416167,0.8888999107231426,0.820228832951945
MVI_40204,0.6178659919815032,0.5899169737817507,0.6492466906643939,0.7082664526484751,0.8166797505464893,974,5483,86,22428,0.8029345428408555,0.9039566940119427,0.7222222222222222
MVI_40211,0.5705740369993337,0.5321303973259469,0.6151790955363006,0.612304120719675,0.7700965344118075,753,1874,45,6892,0.77343441522546,0.8485531103794837,0.7105339524085896
MVI_40212,0.5688441514333121,0.5323756117501232,0.6121553650322625,0.5916994542454627,0.7693125116697593,839,2315,63,7879,0.7580170844419549,0.8453849757925972,0.6870161187968016
MVI_40213,0.5351646906566406,0.4904055218395606,0.5892199039202239,0.5520643988574396,0.7547780812993344,809,2590,51,7702,0.7209865668354988,0.8294207059618308,0.637626590495975
MVI_40241,0.6350391348878763,0.6279912397153128,0.6441055793325979,0.7195390452991053,0.8026464284964389,1945,3940,102,21347,0.8323546033072066,0.87525837122778,0.7934604394060055
MVI_40243,0.6482181962028017,0.6383481203718767,0.6608802950285122,0.7434584755403868,0.8037797989915554,1157,1500,49,10548,0.8515395364525611,0.8658500734933856,0.8376943496397421
MVI_40244,0.6301231547659206,0.6234703196519965,0.6390354256649132,0.7233004199296335,0.7907148741826167,982,1417,39,8811,0.839122592657241,0.8609121298949379,0.8184088071728521
MVI_40732,0.6555632833131352,0.6641364532685927,0.6483312041985932,0.7669388464211258,0.821945576633005,1806,832,45,11512,0.7828985748812402,0.7523626461637033,0.8160180681028492
MVI_40751,0.6411439224947465,0.5952925686498757,0.702747024733859,0.7208231789872732,0.7921457818268047,820,1221,21,7386,0.7881149537262543,0.8107372942018611,0.7667208231789873
MVI_40752,0.5402812950136398,0.4656785909368801,0.6284021816690067,0.5168525990980299,0.823423362329538,902,7184,56,16852,0.6803296623149296,0.8824976348155156,0.5535248041775457
MVI_40871,0.6764313617591003,0.5844577435069058,0.791698474216392,0.6667576791808874,0.8533514929874886,1301,10862,42,36625,0.782960950870637,0.921260715341413,0.680764505119454
MVI_40962,0.6564484827941566,0.6453982351679913,0.6692366474491374,0.720580474934037,0.8077270540111007,738,1361,19,7580,0.847767765013414,0.8857266062958171,0.8129287598944591
MVI_40963,0.5555246389287134,0.5260601120669196,0.5906778207146263,0.6654351748431996,0.7406498423596845,790,3066,38,11639,0.8060184744310066,0.903983765887002,0.727210241429676
MVI_40981,0.6220434607728347,0.6066268090359138,0.6413100170034102,0.785679775823751,0.7415534586077267,909,1268,41,10349,0.8732976055853287,0.888988988988989,0.8581505459464682
MVI_40991,0.3051383052371952,0.3904443770146763,0.24049575944859392,0.4680946006247211,0.7258351517206114,318,2031,35,4482,0.43028547786512206,0.5633802816901409,0.34805890227576974
MVI_40992,0.3129858762700386,0.39922535596287045,0.24828781227685523,0.40181746345318053,0.7455440500655197,644,2328,56,5062,0.4042654028436019,0.5050325636471285,0.33702094033978663
