video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.5335881630949719,0.5073349067141433,0.5621302203341592,0.6044415414761594,0.8115520856387203,259,2757,12,7655,0.7477364970340306,0.9288345937560597,0.6257348138471587
MVI_20012,0.5569893064382154,0.5519752217404373,0.5630255035284918,0.6523001858736059,0.7983220103809433,864,2095,34,8608,0.752580544260244,0.8153721024806833,0.6987685873605948
MVI_20032,0.5770688607933246,0.5218661525802025,0.6385782209097175,0.5757392878696439,0.7808070446134874,328,375,0,1657,0.7848178757269666,0.7962732919254658,0.7736873868436934
MVI_20033,0.5925263681853425,0.5631511374210191,0.6241474941051179,0.6600303375047403,0.8143953439774013,401,1386,6,5274,0.8072780508208721,0.8999766845418512,0.7318923018581721
MVI_20034,0.5632250067549057,0.5701025477600957,0.5569910439184933,0.6377088785987518,0.8426110974756301,657,2903,39,9934,0.7172852116672341,0.8220603537981269,0.6361989128246427
MVI_20035,0.6770436570882825,0.6523363315042146,0.702975292808552,0.7384226064951497,0.8461236317510931,1428,1655,18,11855,0.8620704339309287,0.8704850361197111,0.8538169548713623
MVI_20051,0.6563965746715547,0.6414048238902427,0.6721098798194166,0.7194985448847101,0.858570393978337,914,1568,24,8934,0.8165446729406297,0.8487922705314009,0.7866577121110365
MVI_20052,0.6876404283373461,0.6592540696802625,0.7179599482779736,0.7439885153726522,0.8479973703947395,922,1172,46,8359,0.8450327908671362,0.8580589468491799,0.8323962196434981
MVI_20061,0.5568372164540922,0.5425052979616188,0.5724255327461154,0.6230553154710458,0.8378857987098841,552,2894,43,9256,0.6988249845392702,0.8171825282036448,0.6104148660328436
MVI_20062,0.5884142450402473,0.5153398016383279,0.6726781204339293,0.4045271178843568,0.8464065452609048,2079,551,27,4462,0.7076157673172598,0.6173622704507512,0.8287763334827432
MVI_20063,0.5414288658784493,0.5128445574241458,0.5723483224040479,0.5799436795994993,0.8216156678671674,530,2129,26,6392,0.7218596334376397,0.8422699770498644,0.6315707133917396
MVI_20064,0.43813639404515614,0.41482463687651705,0.46328711172143694,0.47962492949802593,0.8389342090314992,272,7079,30,14184,0.6132368628542275,0.8961637522027924,0.46608855047941344
MVI_20065,0.6178193343682148,0.5987682551523552,0.6390629087474612,0.6939846117976218,0.8399868959813691,1130,4075,45,17156,0.8034558612554595,0.886707480121033,0.7344952203310795
