video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.6315676174834136,0.6014744403164859,0.6637236998497947,0.6964075767472241,0.8283642761259652,596,1727,1,7655,0.8323577121094576,0.9045064377682404,0.7708687132593076
MVI_20012,0.7235009835631248,0.7093021725164081,0.7417292342563812,0.8380576208178439,0.8342644805188303,658,720,16,8608,0.8907543430103766,0.893985490287854,0.887546468401487
MVI_20032,0.6756488399152408,0.652080141353848,0.701253391723203,0.823777911888956,0.7967240681018792,109,183,0,1657,0.9098765432098765,0.9311433986102338,0.8895594447797224
MVI_20033,0.6741152502345028,0.6349875740982411,0.7162037498926231,0.745164960182025,0.8159240568500928,694,648,2,5274,0.8729469511043987,0.869172932330827,0.8767538869927949
MVI_20034,0.6891910274241964,0.6890797269127952,0.6897352861676807,0.7830682504529898,0.8535441982816951,997,1145,13,9934,0.8496957403651115,0.8561209891681995,0.8433662170324139
MVI_20035,0.7494928971451734,0.7437198120189953,0.7554930960237931,0.8387178405735977,0.8691821803073576,1455,452,5,11855,0.9105329178974628,0.8750194431482345,0.9490510333192745
MVI_20051,0.6941353109250628,0.6731833305695816,0.7160556629906897,0.7194985448847101,0.872346754169904,2037,447,22,8934,0.851783328194059,0.7874382364120106,0.9275800313409447
MVI_20052,0.7145466844230756,0.6788810230643261,0.7526394164769991,0.7289149419787055,0.865495124227139,1743,483,40,8359,0.8685059517187674,0.8116228298159892,0.933963392750329
MVI_20061,0.6834661587943911,0.681527610976324,0.6879821665587607,0.7775496974935178,0.8465981038841659,1345,639,75,9256,0.8068477469039442,0.7782573780365388,0.8376188418323249
MVI_20062,0.7211789614925302,0.6943250264158904,0.7505116422844768,0.7449574181981174,0.8790682734099452,931,204,3,4462,0.8813594446171381,0.81961842358836,0.9531600179291797
MVI_20063,0.681640303027006,0.6534542232856156,0.7211733268798547,0.765488110137672,0.8268899967915448,641,834,24,6392,0.8458422682868716,0.8590095176641394,0.833072590738423
MVI_20064,0.5558391305033966,0.5500973310090574,0.5631981559545507,0.6320501974055274,0.8234511423927543,878,4280,61,14184,0.7125690939677962,0.8249860879243183,0.6271150592216582
MVI_20065,0.7399581326668906,0.7176469311338227,0.7648463261597733,0.8248426206574959,0.8573554988694967,2289,678,38,17156,0.890014753778916,0.8518143549848137,0.9318022849148986
MVI_39761,0.6529228131279163,0.5967507240358577,0.7146265385901849,0.5675094136632598,0.8547962440091221,1461,147,0,3718,0.8162285714285714,0.709658187599364,0.9604626143087681
MVI_39771,0.6352021278769132,0.5954786173326729,0.6825633905292738,0.6876560332871012,0.7964137157932338,431,689,6,3605,0.8351553509781358,0.8673438900507917,0.8052704576976422
MVI_39781,0.6419323809961768,0.6151639402312875,0.6725360190812367,0.6015430887929907,0.8406707622371263,2242,776,29,7647,0.7732696897374701,0.7110720948096126,0.8473911337779522
MVI_39801,0.5963312203025217,0.583005190885846,0.614330384156969,0.6548526684525036,0.7849605657609875,724,906,45,4853,0.7738345233095338,0.7889102975808178,0.7593241294044921
MVI_39811,0.5691030397920676,0.5257035062600197,0.6172843874482489,0.3973288814691152,0.8338740649388989,311,49,1,599,0.7520547945205479,0.6376306620209059,0.9165275459098498
MVI_39821,0.7235126440075473,0.6878371624502746,0.7616769472353833,0.7938021454112039,0.842181576652172,581,282,2,4195,0.8956151455863736,0.8658210947930574,0.9275327771156138
MVI_39851,0.5712381124226112,0.48824899270660904,0.669643636704745,0.34120171673819744,0.8205169427081381,3035,307,35,5126,0.7063174114021572,0.5836516424751719,0.8942645337495123
