video,HOTA,DetA,AssA,MOTA,MOTP,FP,FN,IDSW,GT_dets,IDF1,IDP,IDR
MVI_20011,0.6312088743602192,0.6016814850842411,0.6627270159010735,0.697583278902678,0.8276218192814757,585,1729,1,7655,0.8328391924325851,0.9060052219321149,0.7706074461136512
MVI_20012,0.7248951264201559,0.7078445087252025,0.7461470082605834,0.837360594795539,0.8336965158026585,655,733,12,8608,0.8945034426420819,0.8985932004689332,0.8904507434944238
MVI_20032,0.6760410247787307,0.6524719031047052,0.7016737045944211,0.823777911888956,0.7972072157468445,109,183,0,1657,0.9098765432098765,0.9311433986102338,0.8895594447797224
MVI_20033,0.6747256729581155,0.6360706776636484,0.7162493898049488,0.7468714448236633,0.816411617608867,686,647,2,5274,0.8737130442996127,0.870506305288914,0.8769434963974213
MVI_20034,0.6893494705190149,0.6891157765778656,0.6899907572504193,0.7836722367626334,0.8533468971609912,994,1143,12,9934,0.8510573558496881,0.8575370464997445,0.8446748540366419
MVI_20035,0.7561067210870694,0.7432671933620515,0.7693305308722435,0.8392239561366512,0.8683298288366802,1449,452,5,11855,0.9191727040919577,0.8835200746965453,0.9578237030788697
MVI_20051,0.6974516276574378,0.6750510252942346,0.7208801096133105,0.7238638907544213,0.87227268418782,2015,433,19,8934,0.8554241645244216,0.7910802586534804,0.9311618535930154
MVI_20052,0.7145771938515744,0.678675167747128,0.7529307684699056,0.7286756789089605,0.8652519957691608,1748,482,38,8359,0.8676601423487544,0.8105974025974026,0.933365235075966
MVI_20061,0.6927061755732923,0.6809874444198701,0.7068836244016733,0.7787381158167676,0.8459352926328305,1348,632,68,9256,0.831183690451425,0.8013437625350983,0.8633318928262749
MVI_20062,0.7196060386684081,0.6934317586826745,0.7482758485636906,0.7449574181981174,0.8779644663493772,929,206,3,4462,0.8813102518917798,0.8198649951783993,0.952711788435679
MVI_20063,0.6777017036254659,0.6603300351644561,0.7060473286758022,0.7681476846057572,0.8271842417144826,625,831,26,6392,0.8394021307044045,0.8533785968315551,0.8258760951188986
MVI_20064,0.5563751112756693,0.5465660136582853,0.5679984189415045,0.6301466441060349,0.822326526727494,909,4265,72,14184,0.7103790180713258,0.8204654599187292,0.6263395375070502
MVI_20065,0.7396627013567377,0.7181033980165669,0.7638148187073918,0.825308929820471,0.8576794255612521,2286,670,41,17156,0.8879982186595413,0.8497762625186448,0.9298204709722546
